Model,Branch length,Median,Type
02-SEQ_GEN_CHANG/01-DAYHOFF,1,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,2,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,3,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,4,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,5,0,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,6,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,7,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,8,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,9,2,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,10,4,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,11,4,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,12,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,13,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,14,6,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,15,8,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,16,8,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,17,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,18,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,19,10,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,20,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,1,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,2,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,3,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,4,0,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,5,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,6,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,7,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,8,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,9,2,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,10,4,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,11,4,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,12,6,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,13,6,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,14,8,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,15,8,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,16,10,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,17,10,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,18,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,19,12,Non-recoded
02-SEQ_GEN_CHANG/02-JTT,20,12,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,2.6,0,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,5.2,2,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,7.8,2,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,10.4,2,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,13,2,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,15.6,2,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,18.2,4,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,20.8,4,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,23.4,4,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,26,6,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,28.6,6,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,31.2,6,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,33.8,8,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,36.4,8,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,39,10,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,41.6,10,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,44.2,10,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,46.8,12,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,49.4,12,Non-recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,52,14,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,2.6,0,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,5.2,2,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,7.8,2,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,10.4,2,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,13,2,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,15.6,2,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,18.2,4,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,20.8,4,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,23.4,4,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,26,6,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,28.6,6,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,31.2,6,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,33.8,8,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,36.4,8,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,39,10,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,41.6,12,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,44.2,12,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,46.8,12,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,49.4,14,Non-recoded
03-SEQ_GEN_FEUDA/02-JTT,52,14,Non-recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,1,2,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,2,2,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,3,2,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,4,2,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,5,4,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,6,4,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,7,4,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,8,6,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,9,6,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,10,8,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,11,8,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,12,10,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,13,10,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,14,12,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,15,12,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,16,14,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,17,14,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,18,16,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,19,16,Recoded
02-SEQ_GEN_CHANG/01-DAYHOFF,20,18,Recoded
02-SEQ_GEN_CHANG/02-JTT,1,2,Recoded
02-SEQ_GEN_CHANG/02-JTT,2,2,Recoded
02-SEQ_GEN_CHANG/02-JTT,3,2,Recoded
02-SEQ_GEN_CHANG/02-JTT,4,3,Recoded
02-SEQ_GEN_CHANG/02-JTT,5,4,Recoded
02-SEQ_GEN_CHANG/02-JTT,6,4,Recoded
02-SEQ_GEN_CHANG/02-JTT,7,6,Recoded
02-SEQ_GEN_CHANG/02-JTT,8,6,Recoded
02-SEQ_GEN_CHANG/02-JTT,9,8,Recoded
02-SEQ_GEN_CHANG/02-JTT,10,8,Recoded
02-SEQ_GEN_CHANG/02-JTT,11,10,Recoded
02-SEQ_GEN_CHANG/02-JTT,12,10,Recoded
02-SEQ_GEN_CHANG/02-JTT,13,12,Recoded
02-SEQ_GEN_CHANG/02-JTT,14,12,Recoded
02-SEQ_GEN_CHANG/02-JTT,15,14,Recoded
02-SEQ_GEN_CHANG/02-JTT,16,16,Recoded
02-SEQ_GEN_CHANG/02-JTT,17,16,Recoded
02-SEQ_GEN_CHANG/02-JTT,18,18,Recoded
02-SEQ_GEN_CHANG/02-JTT,19,18,Recoded
02-SEQ_GEN_CHANG/02-JTT,20,20,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,2.6,4,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,5.2,4,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,7.8,4,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,10.4,4,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,13,6,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,15.6,6,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,18.2,6,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,20.8,8,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,23.4,8,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,26,10,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,28.6,10,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,31.2,12,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,33.8,12,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,36.4,12,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,39,14,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,41.6,14,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,44.2,16,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,46.8,18,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,49.4,18,Recoded
03-SEQ_GEN_FEUDA/01-DAYHOFF,52,20,Recoded
03-SEQ_GEN_FEUDA/02-JTT,2.6,4,Recoded
03-SEQ_GEN_FEUDA/02-JTT,5.2,4,Recoded
03-SEQ_GEN_FEUDA/02-JTT,7.8,4,Recoded
03-SEQ_GEN_FEUDA/02-JTT,10.4,4,Recoded
03-SEQ_GEN_FEUDA/02-JTT,13,6,Recoded
03-SEQ_GEN_FEUDA/02-JTT,15.6,6,Recoded
03-SEQ_GEN_FEUDA/02-JTT,18.2,8,Recoded
03-SEQ_GEN_FEUDA/02-JTT,20.8,8,Recoded
03-SEQ_GEN_FEUDA/02-JTT,23.4,8,Recoded
03-SEQ_GEN_FEUDA/02-JTT,26,10,Recoded
03-SEQ_GEN_FEUDA/02-JTT,28.6,12,Recoded
03-SEQ_GEN_FEUDA/02-JTT,31.2,12,Recoded
03-SEQ_GEN_FEUDA/02-JTT,33.8,14,Recoded
03-SEQ_GEN_FEUDA/02-JTT,36.4,14,Recoded
03-SEQ_GEN_FEUDA/02-JTT,39,16,Recoded
03-SEQ_GEN_FEUDA/02-JTT,41.6,18,Recoded
03-SEQ_GEN_FEUDA/02-JTT,44.2,18,Recoded
03-SEQ_GEN_FEUDA/02-JTT,46.8,20,Recoded
03-SEQ_GEN_FEUDA/02-JTT,49.4,22,Recoded
03-SEQ_GEN_FEUDA/02-JTT,52,22,Recoded